Year,Team,League,Division
2008,STL,NL,NLC
2008,ARI,NL,NLW
2008,COL,NL,NLW
2008,LAD,NL,NLW
2008,SDP,NL,NLW
2008,SFG,NL,NLW
2007,BAL,AL,ALE
2007,BOS,AL,ALE
2007,NYY,AL,ALE
2007,TBD,AL,ALE
2007,TOR,AL,ALE
2007,CHW,AL,ALC
2007,CLE,AL,ALC
2007,DET,AL,ALC
2007,KCR,AL,ALC
2007,MIN,AL,ALC
2007,LAA,AL,ALW
2007,OAK,AL,ALW
2007,SEA,AL,ALW
2007,TEX,AL,ALW
2007,ATL,NL,NLE
2007,FLA,NL,NLE
2007,NYM,NL,NLE
2007,PHI,NL,NLE
2007,WSN,NL,NLE
2007,CHC,NL,NLC
2007,CIN,NL,NLC
2007,HOU,NL,NLC
2007,MIL,NL,NLC
2007,PIT,NL,NLC
2007,STL,NL,NLC
2007,ARI,NL,NLW
2007,COL,NL,NLW
2007,LAD,NL,NLW
2007,SDP,NL,NLW
2007,SFG,NL,NLW
2006,BAL,AL,ALE
2006,BOS,AL,ALE
2006,NYY,AL,ALE
2006,TBD,AL,ALE
2006,TOR,AL,ALE
2006,CHW,AL,ALC
2006,CLE,AL,ALC
2006,DET,AL,ALC
2006,KCR,AL,ALC
2006,MIN,AL,ALC
2006,LAA,AL,ALW
2006,OAK,AL,ALW
2006,SEA,AL,ALW
2006,TEX,AL,ALW
2006,ATL,NL,NLE
2006,FLA,NL,NLE
2006,NYM,NL,NLE
2006,PHI,NL,NLE
2006,WSN,NL,NLE
2006,CHC,NL,NLC
2006,CIN,NL,NLC
2006,HOU,NL,NLC
2006,MIL,NL,NLC
2006,PIT,NL,NLC
2006,STL,NL,NLC
2006,ARI,NL,NLW
2006,COL,NL,NLW
2006,LAD,NL,NLW
2006,SDP,NL,NLW
2006,SFG,NL,NLW
2005,BAL,AL,ALE
2005,BOS,AL,ALE
2005,NYY,AL,ALE
2005,TBD,AL,ALE
2005,TOR,AL,ALE
2005,CHW,AL,ALC
2005,CLE,AL,ALC
2005,DET,AL,ALC
2005,KCR,AL,ALC
2005,MIN,AL,ALC
2005,LAA,AL,ALW
2005,OAK,AL,ALW
2005,SEA,AL,ALW
2005,TEX,AL,ALW
2005,ATL,NL,NLE
2005,FLA,NL,NLE
2005,NYM,NL,NLE
2005,PHI,NL,NLE
2005,WSN,NL,NLE
2005,CHC,NL,NLC
2005,CIN,NL,NLC
2005,HOU,NL,NLC
2005,MIL,NL,NLC
2005,PIT,NL,NLC
2005,STL,NL,NLC
2005,ARI,NL,NLW
2005,COL,NL,NLW
2005,LAD,NL,NLW
2005,SDP,NL,NLW
2005,SFG,NL,NLW
2004,BAL,AL,ALE
2004,BOS,AL,ALE
2004,NYY,AL,ALE
2004,TBD,AL,ALE
2004,TOR,AL,ALE
2004,CHW,AL,ALC
2004,CLE,AL,ALC
2004,DET,AL,ALC
2004,KCR,AL,ALC
2004,MIN,AL,ALC
2004,ANA,AL,ALW
2004,OAK,AL,ALW
2004,SEA,AL,ALW
2004,TEX,AL,ALW
2004,ATL,NL,NLE
2004,FLA,NL,NLE
2004,MON,NL,NLE
2004,NYM,NL,NLE
2004,PHI,NL,NLE
2004,CHC,NL,NLC
2004,CIN,NL,NLC
2004,HOU,NL,NLC
2004,MIL,NL,NLC
2004,PIT,NL,NLC
2004,STL,NL,NLC
2004,ARI,NL,NLW
2004,COL,NL,NLW
2004,LAD,NL,NLW
2004,SDP,NL,NLW
2004,SFG,NL,NLW
2003,BAL,AL,ALE
2003,BOS,AL,ALE
2003,NYY,AL,ALE
2003,TBD,AL,ALE
2003,TOR,AL,ALE
2003,CHW,AL,ALC
2003,CLE,AL,ALC
2003,DET,AL,ALC
2003,KCR,AL,ALC
2003,MIN,AL,ALC
2003,ANA,AL,ALW
2003,OAK,AL,ALW
2003,SEA,AL,ALW
2003,TEX,AL,ALW
2003,ATL,NL,NLE
2003,FLA,NL,NLE
2003,MON,NL,NLE
2003,NYM,NL,NLE
2003,PHI,NL,NLE
2003,CHC,NL,NLC
2003,CIN,NL,NLC
2003,HOU,NL,NLC
2003,MIL,NL,NLC
2003,PIT,NL,NLC
2003,STL,NL,NLC
2003,ARI,NL,NLW
2003,COL,NL,NLW
2003,LAD,NL,NLW
2003,SDP,NL,NLW
2003,SFG,NL,NLW
2002,BAL,AL,ALE
2002,BOS,AL,ALE
2002,NYY,AL,ALE
2002,TBD,AL,ALE
2002,TOR,AL,ALE
2002,CHW,AL,ALC
2002,CLE,AL,ALC
2002,DET,AL,ALC
2002,KCR,AL,ALC
2002,MIN,AL,ALC
2002,ANA,AL,ALW
2002,OAK,AL,ALW
2002,SEA,AL,ALW
2002,TEX,AL,ALW
2002,ATL,NL,NLE
2002,FLA,NL,NLE
2002,MON,NL,NLE
2002,NYM,NL,NLE
2002,PHI,NL,NLE
2002,CHC,NL,NLC
2002,CIN,NL,NLC
2002,HOU,NL,NLC
2002,MIL,NL,NLC
2002,PIT,NL,NLC
2002,STL,NL,NLC
2002,ARI,NL,NLW
2002,COL,NL,NLW
2002,LAD,NL,NLW
2002,SDP,NL,NLW
2002,SFG,NL,NLW
2001,BAL,AL,ALE
2001,BOS,AL,ALE
2001,NYY,AL,ALE
2001,TBD,AL,ALE
2001,TOR,AL,ALE
2001,CHW,AL,ALC
2001,CLE,AL,ALC
2001,DET,AL,ALC
2001,KCR,AL,ALC
2001,MIN,AL,ALC
2001,ANA,AL,ALW
2001,OAK,AL,ALW
2001,SEA,AL,ALW
2001,TEX,AL,ALW
2001,ATL,NL,NLE
2001,FLA,NL,NLE
2001,MON,NL,NLE
2001,NYM,NL,NLE
2001,PHI,NL,NLE
2001,CHC,NL,NLC
2001,CIN,NL,NLC
2001,HOU,NL,NLC
2001,MIL,NL,NLC
2001,PIT,NL,NLC
2001,STL,NL,NLC
2001,ARI,NL,NLW
2001,COL,NL,NLW
2001,LAD,NL,NLW
2001,SDP,NL,NLW
2001,SFG,NL,NLW
2000,BAL,AL,ALE
2000,BOS,AL,ALE
2000,NYY,AL,ALE
2000,TBD,AL,ALE
2000,TOR,AL,ALE
2000,CHW,AL,ALC
2000,CLE,AL,ALC
2000,DET,AL,ALC
2000,KCR,AL,ALC
2000,MIN,AL,ALC
2000,ANA,AL,ALW
2000,OAK,AL,ALW
2000,SEA,AL,ALW
2000,TEX,AL,ALW
2000,ATL,NL,NLE
2000,FLA,NL,NLE
2000,MON,NL,NLE
2000,NYM,NL,NLE
2000,PHI,NL,NLE
2000,CHC,NL,NLC
2000,CIN,NL,NLC
2000,HOU,NL,NLC
2000,MIL,NL,NLC
2000,PIT,NL,NLC
2000,STL,NL,NLC
2000,ARI,NL,NLW
2000,COL,NL,NLW
2000,LAD,NL,NLW
2000,SDP,NL,NLW
2000,SFG,NL,NLW
1999,BAL,AL,ALE
1999,BOS,AL,ALE
1999,NYY,AL,ALE
1999,TBD,AL,ALE
1999,TOR,AL,ALE
1999,CHW,AL,ALC
1999,CLE,AL,ALC
1999,DET,AL,ALC
1999,KCR,AL,ALC
1999,MIN,AL,ALC
1999,ANA,AL,ALW
1999,OAK,AL,ALW
1999,SEA,AL,ALW
1999,TEX,AL,ALW
1999,ATL,NL,NLE
1999,FLA,NL,NLE
1999,MON,NL,NLE
1999,NYM,NL,NLE
1999,PHI,NL,NLE
1999,CHC,NL,NLC
1999,CIN,NL,NLC
1999,HOU,NL,NLC
1999,MIL,NL,NLC
1999,PIT,NL,NLC
1999,STL,NL,NLC
1999,ARI,NL,NLW
1999,COL,NL,NLW
1999,LAD,NL,NLW
1999,SDP,NL,NLW
1999,SFG,NL,NLW
1998,BAL,AL,ALE
1998,BOS,AL,ALE
1998,NYY,AL,ALE
1998,TBD,AL,ALE
1998,TOR,AL,ALE
1998,CHW,AL,ALC
1998,CLE,AL,ALC
1998,DET,AL,ALC
1998,KCR,AL,ALC
1998,MIN,AL,ALC
1998,ANA,AL,ALW
1998,OAK,AL,ALW
1998,SEA,AL,ALW
1998,TEX,AL,ALW
1998,ATL,NL,NLE
1998,FLA,NL,NLE
1998,MON,NL,NLE
1998,NYM,NL,NLE
1998,PHI,NL,NLE
1998,CHC,NL,NLC
1998,CIN,NL,NLC
1998,HOU,NL,NLC
1998,MIL,NL,NLC
1998,PIT,NL,NLC
1998,STL,NL,NLC
1998,ARI,NL,NLW
1998,COL,NL,NLW
1998,LAD,NL,NLW
1998,SDP,NL,NLW
1998,SFG,NL,NLW
