"team","score","Year"
"LAA",2.21573271758183,2005
"OAK",2.23530901388479,2005
"SEA",2.09686963134771,2005
"TEX",2.62104458693961,2005
"ATL",2.19465887460173,2005
"FLA",2.08377680862373,2005
"NYM",2.09456106761327,2005
"PHI",2.34972206979438,2005
"WSN",1.85049212765093,2005
"CHC",2.03958302744629,2005
"CIN",2.34999515920769,2005
"HOU",1.91913440234429,2005
"MIL",2.08755580874082,2005
"PIT",1.93430475018562,2005
"STL",2.30754424858439,2005
"ARI",1.96769304563284,2005
"COL",2.08153055058743,2005
"LAD",1.895283299839,2005
"SDP",1.8649780303298,2005
"SFG",1.81385200868636,2005
"BAL",2.16649721428159,2006
"BOS",2.36215233913826,2006
"NYY",2.59420189011511,2006
"TBD",1.97991082120164,2006
"TOR",2.24439936520691,2006
"CHW",2.49098922528321,2006
"CLE",2.50656342474898,2006
"DET",2.30404722548284,2006
"KCR",2.19365029631671,2006
"MIN",2.23363270352338,2006
"LAA",2.15763669239153,2006
"OAK",2.19572636667974,2006
"SEA",2.18899094050176,2006
"TEX",2.40216042445893,2006
"ATL",2.34717668211961,2006
"FLA",2.06055035458965,2006
"NYM",2.29389999301164,2006
"PHI",2.36228929837978,2006
"WSN",2.08201146866156,2006
"CHC",2.001730885411,2006
"CIN",2.06750575555583,2006
"HOU",2.01543067095723,2006
"MIL",2.02848704016451,2006
"PIT",1.91798413825917,2006
"STL",2.16379877107355,2006
"ARI",2.16077602594897,2006
"COL",2.26880271972319,2006
"LAD",2.26786369373516,2006
"SDP",1.99793151621087,2006
"SFG",2.07798410620254,2006
"BAL",2.19957254892655,2007
"BOS",2.4388666087469,2007
"NYY",2.81999888803576,2007
"TBD",2.24551196784608,2007
"TOR",2.08915245967515,2007
"CHW",1.98649802767411,2007
"CLE",2.24425659188456,2007
"DET",2.52433994001668,2007
"KCR",1.96479102916919,2007
"MIN",2.02739010981436,2007
"LAA",2.27594650279245,2007
"OAK",2.13043839440468,2007
"SEA",2.27122968913453,2007
"TEX",2.30171510627782,2007
"ATL",2.25084222891921,2007
"FLA",2.21028606815748,2007
"NYM",2.23264469295487,2007
"PHI",2.50861111980638,2007
"WSN",1.88693277709323,2007
"CHC",2.05310794121437,2007
"CIN",2.15629105902952,2007
"HOU",1.99007790220032,2007
"MIL",2.19939849814338,2007
"PIT",2.0031159732563,2007
"STL",2.02932239245131,2007
"ARI",2.03750624142896,2007
"COL",2.51364752806603,2007
"LAD",2.10862000640577,2007
"SDP",2.0680881386098,2007
"SFG",1.95678053211588,2007
"BAL",2.30209639481157,2008
"BOS",2.49234892165791,2008
"NYY",2.35644906175198,2008
"TBR",2.25269473731857,2008
"TOR",2.06915699158607,2008
"CHW",2.30815350049462,2008
"CLE",2.32264856561725,2008
"DET",2.40426496620379,2008
"KCR",1.95502516010265,2008
"MIN",2.33507973128473,2008
"LAA",2.18539090372619,2008
"OAK",1.89931878425368,2008
"SEA",1.94064288014705,2008
"TEX",2.67907555828431,2008
"ATL",2.13315725963606,2008
"FLA",2.21423453367517,2008
"NYM",2.22431404302997,2008
"PHI",2.23352524207263,2008
"WSN",1.8099071987246,2008
"CHC",2.42246825006953,2008
"CIN",1.99920249209316,2008
"HOU",2.04162906986652,2008
"MIL",2.14140301836771,2008
"PIT",2.0973080805314,2008
"STL",2.19872527692872,2008
"ARI",2.02132178692907,2008
"COL",2.09307986695933,2008
"LAD",1.95256239224892,2008
"SDP",1.82056629499771,2008
"SFG",1.81612945353143,2008
"BAL",2.15400785270437,2009
"BOS",2.50586814936294,2009
"NYY",2.62224167788123,2009
"TBR",2.33040232314547,2009
"TOR",2.30701997166806,2009
"CHW",2.04949240187272,2009
"CLE",2.2462211786956,2009
"DET",2.11949521186846,2009
"KCR",1.97128487891844,2009
"MIN",2.33725883351438,2009
"LAA",2.58491982895214,2009
"OAK",2.19075593854709,2009
"SEA",1.86138330906963,2009
"TEX",2.2542638483519,2009
"ATL",2.07550171389501,2009
"FLA",2.17809058683562,2009
"NYM",1.93788533021746,2009
"PHI",2.33335171803721,2009
"WSN",2.03571280176582,2009
"CHC",1.99088156582691,2009
"CIN",1.92898542114744,2009
"HOU",1.85562661479706,2009
"MIL",2.2835992700294,2009
"PIT",1.81496503799882,2009
"STL",2.05903817005257,2009
"ARI",2.08972137244477,2009
"COL",2.33685479017522,2009
"LAD",2.24714090576189,2009
"SDP",1.87387903311614,2009
"SFG",1.86275126501978,2009
"BAL",1.82032466283523,2010
"BOS",2.46564826547454,2010
"NYY",2.54874519281649,2010
"TBR",2.38057656418173,2010
"TOR",2.23369696619314,2010
"CHW",2.16039391603187,2010
"CLE",1.87989049664065,2010
"DET",2.1648084686583,2010
"KCR",1.96594772200483,2010
"MIN",2.29066780781857,2010
"LAA",2.02755130207429,2010
"OAK",1.93500253781908,2010
"SEA",1.50996202730879,2010
"TEX",2.32477814459276,2010
"ATL",2.18913526555494,2010
"FLA",2.16009953524545,2010
"NYM",1.95269924786126,2010
"PHI",2.24910582010932,2010
"WSN",1.95974857409538,2010
"CHC",2.01331921037174,2010
"CIN",2.27187990369203,2010
"HOU",1.75917934597352,2010
"MIL",2.19055771997515,2010
"PIT",1.71922633024365,2010
"STL",2.10027705306017,2010
"ARI",2.18293988604426,2010
"COL",2.29554206975879,2010
"LAD",1.98364278707686,2010
"SDP",1.99854638613857,2010
"SFG",2.09200716572133,2010
"BAL",2.17371602644572,2011
"BOS",2.69585344471875,2011
"NYY",2.61745626597288,2011
"TBR",2.10153215978786,2011
"TOR",2.25240312537039,2011
"CHW",1.88615411636359,2011
"CLE",2.09537444583804,2011
"DET",2.30235346761441,2011
"KCR",2.16344896454984,2011
"MIN",1.87659533953626,2011
"LAA",2.01080532741662,2011
"OAK",1.94021328663751,2011
"SEA",1.69243668552743,2011
"TEX",2.56821891026432,2011
"ATL",1.90442563588048,2011
"FLA",1.88218943544764,2011
"NYM",2.15453680147756,2011
"PHI",2.07695553397219,2011
"WSN",1.88658453894227,2011
"CHC",1.93742873252197,2011
"CIN",2.18660069731122,2011
"HOU",1.79995969364963,2011
"MIL",2.0763287137174,2011
"PIT",1.77934339862522,2011
"STL",2.22800974992929,2011
"ARI",2.1851486982984,2011
"COL",2.23740430257016,2011
"LAD",1.94189050759602,2011
"SDP",1.75210546048064,2011
"SFG",1.69933838908673,2011
"BAL",2.13247577498587,2012
"BOS",2.21913134454899,2012
"NYY",2.42108979655004,2012
"TBR",2.06721320073439,2012
"TOR",2.11563045252087,2012
"CHW",2.1706446388413,2012
"CLE",1.99514621575151,2012
"DET",2.1121889954405,2012
"KCR",2.00532488331185,2012
"MIN",2.11091500109019,2012
"LAA",2.33370057962007,2012
"OAK",2.12860059232277,2012
"SEA",1.84245865246274,2012
"TEX",2.38565345570993,2012
"ATL",2.1035353002589,2012
"MIA",1.86525438743499,2012
"NYM",1.95666427530334,2012
"PHI",2.01846779761169,2012
"WSN",2.14745876440318,2012
"CHC",1.82049906333363,2012
"CIN",1.93503511315224,2012
"HOU",1.72975912841032,2012
"MIL",2.27610727208344,2012
"PIT",1.90801332275585,2012
"STL",2.25740581927317,2012
"ARI",2.16581684678053,2012
"COL",2.27621211792807,2012
"LAD",1.86285527019207,2012
"SDP",1.93479595540829,2012
"SFG",2.09205946824522,2012
"BAL",2.20894778763434,2013
"BOS",2.61219357257422,2013
"NYY",2.04618009317325,2013
"TBR",2.11212386856796,2013
"TOR",2.1813481326238,2013
"CHW",1.82132197948933,2013
"CLE",2.26779975945947,2013
"DET",2.37938975017957,2013
"KCR",1.96451133226455,2013
"MIN",1.87871231558182,2013
"HOU",1.86955407220991,2013
"LAA",2.2238888740198,2013
"OAK",2.32431927226422,2013
"SEA",1.84755924383401,2013
"TEX",2.18691682530792,2013
"ATL",2.03971984121871,2013
"MIA",1.52769528974604,2013
"NYM",1.84044137818627,2013
"PHI",1.82259105019907,2013
"WSN",2.01112050675716,2013
"CHC",1.84644506481618,2013
"CIN",2.10161262283008,2013
"MIL",1.9182015425734,2013
"PIT",1.90888836420039,2013
"STL",2.38484261752565,2013
"ARI",2.06056866242655,2013
"COL",2.12670487046863,2013
"LAD",1.93295730640319,2013
"SDP",1.87517751197633,2013
"SFG",1.91762860158702,2013
"BAL",2.14958657859198,2014
"BOS",1.96101263485584,2014
"NYY",1.97300995507306,2014
"TBR",1.87454266690725,2014
"TOR",2.20406353544152,2014
"CHW",2.00896212379661,2014
"CLE",2.03103830010982,2014
"DET",2.31872296683928,2014
"KCR",1.96361147095673,2014
"MIN",2.22785285764693,2014
"HOU",1.96340250535534,2014
"LAA",2.38575106182228,2014
"OAK",2.22738703282609,2014
"SEA",1.95524602725273,2014
"TEX",1.97406932681639,2014
"ATL",1.73862353030886,2014
"MIA",2.02400712638272,2014
"NYM",1.95264859809405,2014
"PHI",1.94090305192858,2014
"WSN",2.12034039741883,2014
"CHC",1.86621678992406,2014
"CIN",1.79340012483037,2014
"MIL",1.99058642339022,2014
"PIT",2.07791331002405,2014
"STL",1.88100425396846,2014
"ARI",1.88902409301685,2014
"COL",2.26892401933725,2014
"LAD",2.16174402175606,2014
"SDP",1.5730418790711,2014
"SFG",2.00646418441192,2014
"BAL",2.15136385631464,2015
"BOS",2.27919929788627,2015
"NYY",2.36577390471255,2015
"TBR",1.95379955865946,2015
"TOR",2.70392637971386,2015
"CHW",1.88432885135812,2015
"CLE",2.01670451067286,2015
"DET",2.17612777995137,2015
"KCR",2.19959667220943,2015
"MIN",2.11882740965061,2015
"HOU",2.19197215902667,2015
"LAA",1.98416813612818,2015
"OAK",2.11386287728827,2015
"SEA",1.96322614613281,2015
"TEX",2.31831982081183,2015
"ATL",1.67398602351867,2015
"MIA",1.77979983821891,2015
"NYM",1.97352226528883,2015
"PHI",1.86585259584275,2015
"WSN",2.06558570830539,2015
"CHC",2.03577175019063,2015
"CIN",1.93464089986451,2015
"MIL",1.94723508274876,2015
"PIT",2.06874650996553,2015
"STL",1.8993367249229,2015
"ARI",2.14955214168056,2015
"COL",2.20550044089569,2015
"LAD",1.91408414001474,2015
"SDP",1.90453117399221,2015
"SFG",2.04453258911001,2015
"BAL",2.22023410451302,2016
"BOS",2.56742579425362,2016
"NYY",2.05680097321162,2016
"TBR",2.03070964676152,2016
"TOR",2.22000638962732,2016
"CHW",2.01598864994753,2016
"CLE",2.27371437122365,2016
"DET",2.2826327698587,2016
"KCR",2.00728059768059,2016
"MIN",2.13206310676937,2016
"HOU",2.10641804046432,2016
"LAA",2.10364556897603,2016
"OAK",1.9262460436115,2016
"SEA",2.28278564065155,2016
"TEX",2.22483680063339,2016
"ATL",1.92568628393995,2016
"MIA",1.92470581169176,2016
"NYM",1.93366600434456,2016
"PHI",1.76018615766045,2016
"WSN",2.14506735399253,2016
"CHC",2.27904877463609,2016
"CIN",2.07846951906737,2016
"MIL",1.91993351848901,2016
"PIT",2.13031530515053,2016
"STL",2.22400314869573,2016
"ARI",2.20062952034925,2016
"COL",2.38719847949381,2016
"LAD",2.07442926120768,2016
"SDP",1.9862866245553,2016
"SFG",2.05884175767572,2016
